Roaster,Producer,Location,Roast Date,Purchase Date,Price
Sweet Bloom Coffee Roaster,"Kolla Bolcha",Jimma Ethiopia,06/28/2018,,
Sweet Bloom Coffee Roaster,"Kolla Bolcha",Jimma Ethiopia,07/24/2018,,
Sweet Bloom Coffee Roaster,"Kainamui",Kirinyaga Kenya,08/22/2018,,
Sweet Bloom Coffee Roaster,"Augusto Castillo",Huehuetenango Guatemala,09/24/2018,09/25/2018,
Sweet Bloom Coffee Roaster,"Gotiti",Gedeb Ethiopia,10/30/2018,,
Sweet Bloom Coffee Roaster,"Alejandro Ahumado",Narino Columbia,,,
Little Owl Coffee,"Kolla Bolcha",Ethiopia,01/14/2019,,
Sweet Bloom Coffee Roaster,,Toraja Sulawesi,01/25/2019,,
Sweet Bloom Coffee Roaster,"Los Naranjos",Huila Colombia,04/04/2019,,
Sweet Bloom Coffee Roaster,"Kibingo",Kayazanza Province Burundi,04/15/2019,04/16/2019,
Sweet Bloom Coffee Roaster,"Sonia Imbachi",Huila Colombia,04/25/2019,04/29/2019,$18.00
Sweet Bloom Coffee Roaster,"Diego Imbachi",Huila Colombia,05/09/2019,05/13/2019,$18.00
Halfwit Coffee Roaster,"Rulindo District",Tumba Village Rwanda,05/27/2019,05/30/2019,$21.00






Sweet Bloom Coffee Roaster,"Los Chelazos",Chalatenango El Salvado, 07/03/2021,07/09/2021,
