Date,Total consumption (Therms),Notes
11/07/2017,46,
12/11/2017,61,
01/12/2018,90,
02/12/2018,92,
03/14/2018,80,
04/12/2018,43,
05/11/2018,26,
06/11/2018,4,
07/12/2018,0,
08/10/2018,0,
09/11/2018,0,
10/10/2018,11,
11/08/2018,41,
12/11/2018,95,
01/14/2019,98,
02/12/2019,96,
03/13/2019,94,
04/12/2019,52,
05/13/2019,32,
06/12/2019,12,
07/12/2019,0,
08/13/2019,0,
09/11/2019,0,
10/09/2019,5,
11/08/2019,66,
12/10/2019,82,
01/14/2020,99,
02/12/2020,91,
03/13/2020,67,
04/10/2020,49,
05/11/2020,30,
06/11/2020,0,
07/13/2020,0,
08/11/2020,0,
09/10/2020,5,
10/09/2020,10,
11/09/2020,46,
12/10/2020,77,
01/13/2021,111,
02/12/2021,90,
03/12/2021,84,
04/13/2021,57,
05/12/2021,46,
06/11/2021,9,
07/13/2021,0,
07/15/2021,,Air conditioner installed + swamp cooler uninstalled
08/12/2021,0,
09/10/2021,0,
10/11/2021,1,
11/09/2021,39,
12/10/2021,45,
01/13/2022,?,
02/14/2022,98,
03/00/2022,85,
04/00/2022,57,
05/00/2022,0,
06/00/2022,9,
07/2022,0,
08/2022,0,
09/2022,0,
10/2022,6,
11/2022,34,
12/2022,92,doublecheck this
