Date,Description,Value
03/01/2018,Took over garden,
03/01/2018,Area,140 square feet
03/01/2018,Dimensions,10 feet x 14 feet
03/14/2020,Tilled,
03/21/2020,Amendment added: Compost,4 cubic feet
03/28/2020,Tilled,
03/28/2020,Amendment added: Rosa Floral compost,10 cubic feet
03/28/2020,Amendment added: Top soil,10 cubic feet
03/28/2020,Amendment added: Peat moss,3 cubic feet
03/28/2020,Fertilizer added: TomatoTone,5 pounds
04/10/2020,Fertilizer added: GardenTone,3 pounds
05/03/2020,Fertilizer added: GardenTone,2 pounds
09/01/2020,Soil test performed,
09/06/2020,Cover crop planted,
09/06/2020,Amendment added: Colorado's Choice B.O.S.S.,3 cubic feet
10/07/2020,pH,6.3
10/07/2020,Electrical conductivity or salts,0.2 mmhos/cm
10/07/2020,Lime,Low
10/07/2020,Texture estimate,Sandy Clay Loam
10/07/2020,Organic Material, 1.1 %
10/07/2020,Nitrate,55.4 ppm
10/07/2020,Phosphorus,83.9 ppm
10/07/2020,Potassium,723.9 ppm
10/07/2020,Zinc,16.7 ppm
10/07/2020,Iron,24.0 ppm
10/07/2020,Manganese,2.5 ppm
10/07/2020,Copper,4.1 ppm
10/07/2020,Boron,0.50 ppm
04/06/2021,Amendment added: Backyard soil,1.32 cubic feet
04/07/2021,Amendment added: Backyard soil,1.32 cubic feet
04/08/2021,Amendment added: Backyard soil,1.32 cubic feet
05/01/2021,Cover crop terminated,
05/05/2021,Amendment added: A1 EcoGro,4.0 cubic feet
05/05/2021,Amendment added: Mulched tree from Lakewood Gulch,40 cubic feet
05/23/2021,Amendmend added: A1 EcoGro,1.0 cubic feet
05/23/2021,Amendmend added: Rocky Mountain Soil Inc's mushroom compost,1.25 cubic feet
05/23/2021,Plants planted,
06/18/2021,Amendment added: Straw + pruning / cleanup session,1 cubic foot
07/03/2021,Amendment added: Hay grown by Joe's farmer friend,2 cubic feet
07/10/2021,Amendment added: A1 EcoGro,1.32 cubic feet
07/12/2021,Amendment added: A1 EcoGro + Eric's compost tea,2.64 cubic feet
07/13/2021,Amendment added: A1 EcoGro,2.64 cubic feet
07/14/2021,Amendment added: A1 EcoGro,1.32 cubic feet
07/17/2021,Amendment added: A1 EcoGro,1.32 cubic feet
07/19/2021,Amendment added: A1 EcoGro,1.32 cubic feet
07/20/2021,Amendment added: A1 EcoGro,1.32 cubic feet
07/21/2021,Amendment added: A1 EcoGro,1.32 cubic feet
07/22/2021,Amendment added: A1 EcoGro,4.00 cubic feet
07/23/2021,Amendment added: A1 EcoGro,1.32 cubic feet
