Date,From (Airport code),To (Airport code),Distance (miles),Type of aircraft
05/09/2018,Denver (DIA),Los Angeles (LAX),860,
05/12/2018,Los Angeles (LAX),Denver (DIA),860,
09/14/2018,Denver (DIA),Portland (PDX),989,
09/16/2018,Portland (PDX),Denver (DIA),989,
12/22/2018,Denver (DIA),Kansas City (MCI),531,
01/01/2019,Kansas City (MCI),Denver (DIA),531,
03/28/2019,Denver (DIA),Kansas City (MCI),531,
05/24/2019,Denver (DIA),Houston (IAH),861,
05/24/2019,Houston (IAH),Pittsburgh (PIT),1120,Bombardier CRJ700
05/31/2019,Chicago (ORD),Denver (DIA),885,Boeing 757-300
12/18/2019,Denver (DIA),Baltimore (BWI),1491,
12/18/2019,Baltimore (BWI),Albany (ALB),289,
12/23/2019,Albany (ALB),Baltimore (BWI),289,
12/23/2019,Baltimore (BWI),Kansas City (MCI),967,
02/21/2020,Denver (DIA),Puerto Vallarta (PVR),1322,Airbus A320
02/25/2020,Puerto Vallarta (PVR),Los Angeles (LAX),1218,Airbus A320
02/25/2020,Los Angeles (LAX),Denver (DIA),862,Airbus A320
09/29/2021,Denver (DIA),Seattle (SEA),1024,Boeing 737-800/900
10/02/2021,Seattle (SEA),Denver (DIA),1024,Boeing 737-800/900
01/04/2022,Kansas City (MCI),Denver (DIA),531,Airbus A321
02/01/2022,Denver (DIA),Las Vegas (LAS),628,Airbus A320
02/03/2022,Las Vegas (LAS),Denver (DIA),628,Airbus A320
03/22/2022,Denver (DIA),Syracuse (SYR),1492,Airbus A320
03/27/2022,Syracuse (SYR),Denver (DIA),1492,Airbus A319
08/17/2022,Denver (DIA),Minneapolis (MSP),680,XYZ (Delta)
08/17/2022,Minneapolis (MSP),Milwaukee (MKE),297,XYZ (Delta)
08/20/2022,Milwaukee (MKE),Denver (DIA),896,Boeing 737-800/900 (United)
08/03/2023,Denver (DIA),Philadelphia (PHL),1558,
08/06/2023,Philadelphia (PHL),Denver (DIA),1558,
08/19/2018,Denver (DIA),Hollywood Burbank Airport (BUR),850,
08/21/2018,Hollywood Burbank Airport (BUR),Denver (DIA),850,
09/14/2018,Denver (DIA),Portland (PDX),989,
09/16/2018,Portland (PDX),Denver (DIA),989,
