Date,"Type (drive, public transit, fly, or walk)",Distance (miles),From (Airport code),To (Airport code),Steps,Odometer,Type of aircraft
2012,drive,45000,,,,,
2013,drive,45000,,,,,
2014,drive,35000,,,,,
2014,walk,712,,,1503435,,
2015,drive,9967,,,,,
2015,walk,1032,,,2180510,,
2016,drive,10833,,,,,
2016,walk,715,,,1510370,,
2017,drive,9550,,,,,
2017,walk,1346,,,2842255,,
2018,drive,8650,,,,,
2018,walk,1729,,,3651095,,
05/2018,fly,860,Denver (DIA),Los Angeles (LAX),,,
05/2018,fly,860,Los Angeles (LAX),Denver (DIA),,,
09/2018,fly,989,Denver (DIA),Portland (PDX),,,
09/2018,fly,989,Portland (PDX),Denver (DIA),,,
12/2018,fly,531,Denver (DIA),Kansas City (MCI),,,
2019,drive,9154,,,,,
2019,walk,1686,,,3560575,,
01/2019,fly,531,Kansas City (MCI),Denver (DIA),,,
03/2019,fly,531,Denver (DIA),Kansas City (MCI),,,
03/20/2019,drive,,,,,24086,
05/2019,fly,861,Denver (DIA),Houston (IAH),,,
05/2019,fly,1120,Houston (IAH),Pittsburgh (PIT),,,
05/2019,fly,885,Chicago (ORD),Denver (DIA),,,
12/2019,fly,1491,Denver (DIA),Baltimore (BWI),,,
12/2019,fly,289,Baltimore (BWI),Albany (ALB),,,
12/2019,fly,289,Albany (ALB),Baltimore (BWI),,,
12/2019,fly,967,Baltimore (BWI),Kansas City (MCI),,,
01/01/2020,drive,,,,,29274,
02/2020,fly,1322,Denver (DIA),Puerto Vallarta (PVR),,,
02/2020,fly,1218,Puerto Vallarta (PVR),Los Angeles (LAX),,,
02/2020,fly,862,Los Angeles (LAX),Denver (DIA),,,
