Date,"Type (compostable, landfill, recyclable)",Total weight (pounds),Container weight (pounds),Net weight (pounds),Note
1/20/20 8:04 AM,compostable,2.886,1.128,1.758,
1/22/20 8:14 AM,compostable,3.808,1.128,2.680,
1/24/20 9:09 AM,compostable,2.376,1.128,1.248,
1/27/20 9:01 AM,compostable,4.098,1.128,2.970,
1/30/20 3:07 PM,compostable,2.712,1.128,1.584,
2/1/20 3:02 PM,compostable,3.172,1.128,2.044,
2/2/20 12:00 PM,compostable,1.888,1.128,0.760,
2/6/20 6:58 PM,compostable,2.326,1.128,1.198,
2/11/20 3:37 PM,compostable,3.556,1.128,2.428,
2/14/20 10:21 AM,compostable,2.086,1.128,0.958,
2/14/20 10:25 PM,compostable,4.488,1.128,3.360,
2/15/20 8:30 AM,compostable,2.348,1.128,1.220,
2/21/20 2:37 PM,compostable,4.394,1.128,3.266,
3/1/20 8:46 AM,compostable,4.092,1.128,2.964,
3/3/20 7:40 AM,compostable,2.328,1.128,1.200,
3/6/20 3:07 AM,compostable,4.326,1.128,3.198,
3/8/20 9:10 AM,compostable,2.152,1.128,1.024,
3/10/20 8:18 AM,compostable,1.796,1.128,0.668,
3/13/20 10:59 AM,compostable,3.806,1.128,2.678,
3/15/20 2:36 PM,compostable,3.080,1.128,1.952,
3/17/20 11:23 AM,compostable,2.972,1.128,1.844,
3/18/20 1:01 PM,compostable,2.594,1.128,1.466,
3/20/20 3:07 PM,compostable,2.798,1.128,1.670,
3/22/20 12:49 PM,compostable,3.350,1.128,2.222,
3/25/20 1:30 PM,compostable,3.122,1.128,1.994,
3/26/20 4:42 PM,compostable,2.016,1.128,0.888,
3/28/20 10:46 AM,compostable,3.706,1.128,2.578,
3/29/20 4:01 PM,compostable,2.552,1.128,1.424,
3/31/20 5:09 PM,compostable,2.634,1.128,1.506,
4/3/20 9:34 AM,compostable,3.066,1.128,1.938,
4/4/20 12:01 PM,compostable,1.356,1.128,0.228,
4/7/20 12:03 PM,compostable,3.228,1.128,2.100,
4/10/20 8:48 AM,compostable,2.926,1.128,1.798,
4/12/20 11:07 AM,compostable,2.990,1.128,1.862,
4/14/20 9:21 AM,compostable,3.302,1.128,2.174,
4/15/20 10:12 AM,compostable,2.390,1.128,1.262,
4/18/20 1:53 PM,compostable,3.404,1.128,2.276,
4/21/20 7:49 AM,compostable,3.540,1.128,2.412,
4/24/20 6:38 PM,compostable,3.128,1.128,2.000,
