Date,Type,Total weight (pounds),Quarter,Note
01/20/2020,General,2.018,,
01/21/2020,General,1.324,,
01/22/2020,General,0.670,,
01/29/2020,General,0.884,,
02/01/2020,General,0.690,,
02/04/2020,General,2.307,,
02/11/2020,General,1.632,,
02/14/2020,General,0.912,,
02/21/2020,General,4.528,,
03/01/2020,General,2.140,,
03/04/2020,General,2.542,,
03/15/2020,General,1.332,,
03/24/2020,General,2.196,,
03/29/2020,General,2.198,,
04/04/2020,General,2.886,,
04/07/2020,General,0.548,,
04/11/2020,General,1.880,,
04/20/2020,General,2.514,,
05/05/2020,General,2.278,,
05/13/2020,General,1.150,,
05/23/2020,General,2.768,,
06/01/2020,General,1.864,,
06/10/2020,General,2.590,,
06/16/2020,General,0.808,,
06/18/2020,General,1.234,,
06/24/2020,General,1.862,,
07/07/2020,General,1.102,,
07/12/2020,General,1.646,,
07/14/2020,General,7.370,,
07/22/2020,General,1.336,,
07/25/2020,General,2.418,,
08/02/2020,General,1.160,,
08/16/2020,General,3.630,,
08/21/2020,General,1.388,,
08/27/2020,General,2.590,,
09/04/2020,General,1.168,,
09/07/2020,General,1.820,,
09/16/2020,General,1.646,,
09/23/2020,General,1.204,,
09/29/2020,General,3.094,,
10/10/2020,General,3.820,,
10/15/2020,General,1.026,,
10/17/2020,General,2.034,,
10/23/2020,General,2.304,,
10/28/2020,General,1.708,,
10/31/2020,General,1.274,,
11/03/2020,General,0.780,,
11/09/2020,General,2.220,,
11/13/2020,General,0.888,,
11/16/2020,General,1.730,,
11/20/2020,General,1.354,,
11/21/2020,General,1.680,,
11/27/2020,General,5.706,,
12/01/2020,General,2.904,,
12/05/2020,General,1.910,,
12/08/2020,General,0.958,,
12/12/2020,General,1.138,,
12/15/2020,General,1.534,,
12/18/2020,General,1.438,,
12/22/2020,General,1.124,,
12/26/2020,General,1.978,,
12/26/2020,General,2.016,,
12/30/2020,General,1.136,,
12/31/2020,General,1.014,,
01/06/2021,General,1.452,,
01/10/2021,General,1.900,,
01/15/2021,General,2.036,,
01/24/2021,General,3.436,,
01/26/2021,General,0.408,,
01/30/2021,General,2.588,,
02/02/2021,General,1.976,,
02/05/2021,General,0.504,,
02/08/2021,General,0.902,,
02/13/2021,General,1.560,,
02/16/2021,General,2.070,,
02/21/2021,General,1.170,,
02/23/2021,General,1.484,,
02/27/2021,General,0.738,,
03/04/2021,General,3.044,,
03/07/2021,General,2.408,,
03/09/2021,General,3.786,,
03/15/2021,General,3.254,,
03/17/2021,General,1.484,,
03/23/2021,General,2.330,,
03/28/2021,General,1.572,,
03/30/2021,General,1.534,,
04/03/2021,General,1.890,,
04/06/2021,General,2.222,,
04/11/2021,General,1.572,,
04/14/2021,General,4.458,,
04/16/2021,General,1.382,,
04/22/2021,General,1.010,,
04/25/2021,General,2.690,,
04/29/2021,General,1.560,,
04/30/2021,General,0.360,,
05/04/2021,General,1.480,,
05/07/2021,General,0.892,,
05/12/2021,General,1.610,,
05/18/2021,General,4.384,,
05/21/2021,General,0.958,,
05/23/2021,General,1.764,,
05/29/2021,General,2.446,,
06/01/2021,General,1.290,,
06/06/2021,General,1.982,,
06/08/2021,General,1.050,,
06/12/2021,General,1.994,,
06/16/2021,General,1.550,,
06/22/2021,General,1.382,,
06/23/2021,General,1.252,,
06/29/2021,General,2.412,,
07/05/2021,General,3.962,,
07/09/2021,General,2.048,,
07/11/2021,General,4.746,,
07/13/2021,General,1.764,,
07/17/2021,General,1.624,,
07/19/2021,General,2.556,,
