Date,Type,Gallons,
05/31/2021,Rain barrel,30,
06/30/2021,Rain barrel,70,
07/09/2021 08:48 AM,Rain barrel,1.6,
07/09/2021 01:32 PM,Rain barrel,3.2,
07/09/2021 07:06 PM,Rain barrel,1.6,
07/10/2021 10:21 AM,Rain barrel,3.2,
07/11/2021 09:35 AM,Rain barrel,1.6,
07/12/2021 11:29 AM,Rain barrel,3.2,
07/13/2021 11:34 AM,Rain barrel,1.6,
07/14/2021 07:34 AM,Rain barrel,1.6,
07/16/2021 08:06 AM,Rain barrel,1.5,
07/17/2021 08:39 AM,Rain barrel,1.8,
07/18/2021 09:15 AM,Rain barrel,1.8,
07/20/2021 07:57 AM,Rain barrel,1.8,
07/20/2021 04:14 PM,Rain barrel,1.6,
07/21/2021 07:55 AM,Rain barrel,1.8,
07/21/2021 07:57 AM,Rain barrel,1.4,
07/22/2021 07:50 AM,Rain barrel,1.8,
07/23/2021 12:59 PM,Rain barrel,2.8,
07/23/2021 01:00 PM,Rain barrel,1.6,
07/24/2021 09:30 AM,Rain barrel,1.6,
07/25/2021 09:08 AM,Rain barrel,1.8,
07/27/2021 07:09 AM,Rain barrel,3.4,
07/28/2021 06:49 AM,Rain barrel,3.4,
07/29/2021 06:47 AM,Rain barrel,3.4,
07/30/2021 06:35 AM,Rain barrel,1.8,
08/02/2021 07:11 AM,Rain barrel,1.6,
08/03/2021 06:42 AM,Rain barrel,1.6,
08/04/2021 02:26 PM,Rain barrel,1.8,
08/05/2021 08:50 AM,Rain barrel,1.8,
08/06/2021 06:17 AM,Rain barrel,1.8,
08/06/2021 03:16 PM,Rain barrel,1.6,

08/13/2021 12:03 PM,Rain barrel,3.2,
08/14/2021 09:14 AM,Rain barrel,3.2,
08/14/2021 01:44 PM,Rain barrel,1.8,
08/14/2021 01:44 PM,Rain barrel,1.6,
08/15/2021 08:02 AM,Rain barrel,2.2,
08/16/2021 07:51 AM,Rain barrel,1.6,
08/16/2021 07:51 AM,Rain barrel,2,
08/19/2021 10:24 AM,Rain barrel,3.2,
08/19/2021 02:52 PM,Rain barrel,1.8,
08/22/2021 08:22 AM,Rain barrel,1.6,
08/23/2021 06:45 AM,Rain barrel,3,
08/23/2021 06:09 PM,Rain barrel,1.6,
08/24/2021 08:19 PM,Rain barrel,1.6,
